Wall time,Step,Value
1555717770.4634275,5241000,972.0
1555717793.9583564,5245000,908.0
1555717799.816416,5246000,942.0
1555717869.9785132,5257000,963.0
1555717909.5103157,5263000,959.0
1555717932.9101994,5267000,963.0
1555718080.7026474,5290000,961.0
1555718165.1601431,5303000,967.0
1555718216.456141,5311000,978.0
1555718263.2618883,5319000,962.0
1555718335.7823813,5330000,954.0
1555718343.9453363,5331000,965.0
1555718437.9162686,5346000,973.0
1555718455.8533301,5349000,970.0
1555718528.5098357,5360000,978.0
1555718536.6725485,5361000,968.0
1555718554.2146983,5364000,960.0
1555718664.019792,5381000,946.0
1555718687.3858614,5385000,967.0
1555718711.9291523,5389000,985.0
1555718769.4274871,5398000,956.0
1555718804.640836,5403000,939.0
1555718816.371921,5405000,977.0
1555718828.0676458,5407000,939.0
1555718885.4645944,5416000,954.0
1555718920.6829154,5421000,972.0
1555718950.0670512,5426000,959.0
1555719040.399866,5440000,985.0
1555719048.6245883,5441000,983.0
1555719060.3750746,5443000,975.0
1555719089.7887633,5448000,981.0
1555719148.5782952,5457000,981.0
1555719188.6444974,5463000,995.0
1555719271.3253424,5476000,991.0
1555719330.116625,5485000,938.0
